climate,date,max_temp,min_temp,site,wind
阵雨转中雨,2012年7月8日,22℃,27℃,济南,南风小于3级
大雨转小雨,2012年7月9日,22℃,28℃,济南,微风
多云,2012年7月10日,22℃,35℃,济南,南风小于3级
多云转雷阵雨,2012年7月11日,24℃,33℃,济南,南风转东北风小于3级
多云,2012年7月12日,23℃,30℃,济南,东北风小于3级
多云,2012年7月13日,22℃,29℃,济南,东北风小于3级
多云,2012年7月14日,20℃,30℃,济南,东北风小于3级
多云,2012年7月15日,21℃,31℃,济南,东南风小于3级
多云,2012年7月16日,22℃,32℃,济南,东风小于3级
多云,2012年7月17日,23℃,32℃,济南,东风小于3级
多云,2012年7月18日,24℃,33℃,济南,南风小于3级
多云,2012年7月19日,25℃,33℃,济南,南风小于3级
多云转阴,2012年7月20日,26℃,33℃,济南,南风小于3级
阴转大雨,2012年7月21日,25℃,30℃,济南,东南风小于3级
雷阵雨,2012年7月22日,24℃,30℃,济南,微风
中雨,2012年7月23日,24℃,32℃,济南,南风小于3级
雷阵雨,2012年7月24日,25℃,34℃,济南,南风小于3级
多云,2012年7月25日,27℃,34℃,济南,南风小于3级
晴,2012年7月26日,28℃,35℃,济南,南风小于3级
晴转多云,2012年7月27日,27℃,35℃,济南,南风小于3级
多云转雷阵雨,2012年7月28日,27℃,35℃,济南,南风3-4级
暴雨,2012年7月29日,25℃,31℃,济南,南风小于3级转微风
大雨,2012年7月30日,25℃,32℃,济南,南风小于3级
中雨转阵雨,2012年7月31日,23℃,29℃,济南,南风小于3级转微风
阴转多云,2012年8月1日,21℃,31℃,济南,东北风小于3级
大雨,2012年8月2日,20℃,24℃,济南,东风3-4级转4-5级
阵雨,2012年8月3日,23℃,29℃,济南,东南风3-4级
阵雨转多云,2012年8月4日,23℃,29℃,济南,东风小于3级
多云,2012年8月5日,24℃,31℃,济南,东北风小于3级
多云,2012年8月6日,24℃,33℃,济南,东北风转东南风小于3级
多云,2012年8月7日,24℃,33℃,济南,东南风小于3级
多云转雷阵雨,2012年8月8日,24℃,31℃,济南,东南风转东北风小于3级
阵雨,2012年8月9日,23℃,29℃,济南,东北风小于3级
多云,2012年8月10日,23℃,30℃,济南,东北风转东南风小于3级
多云转雷阵雨,2012年8月11日,23℃,30℃,济南,东南风转东北风小于3级
阴转多云,2012年8月12日,22℃,28℃,济南,东北风3-4级转小于3级
阴转多云,2012年8月13日,26℃,20℃,济南,东北风3-4级转小于3级
阵雨转多云,2012年8月14日,18℃,28℃,济南,微风
晴,2012年8月15日,18℃,29℃,济南,微风
多云,2012年8月16日,20℃,30℃,济南,南风小于3级
阴转大雨,2012年8月17日,23℃,27℃,济南,南风小于3级转微风
中雨转多云,2012年8月18日,22℃,28℃,济南,微风
多云转阵雨,2012年8月19日,22℃,28℃,济南,南风小于3级
阵雨转多云,2012年8月20日,21℃,26℃,济南,微风
多云转晴,2012年8月21日,17℃,27℃,济南,东北风小于3级
晴,2012年8月22日,16℃,29℃,济南,东北风转东风小于3级
晴,2012年8月23日,17℃,29℃,济南,东风小于3级
晴转多云,2012年8月24日,18℃,29℃,济南,东南风小于3级
多云转中雨,2012年8月25日,21℃,27℃,济南,东风小于3级
中雨转小雨,2012年8月26日,21℃,26℃,济南,东南风小于3级转东风3-4级
阴转多云,2012年8月27日,21℃,27℃,济南,东北风小于3级转北风3-4级
多云转晴,2012年8月28日,22℃,33℃,济南,微风转南风小于3级
晴,2012年8月29日,23℃,34℃,济南,南风小于3级
多云,2012年8月30日,24℃,33℃,济南,南风小于3级
多云转阴,2012年8月31日,23℃,30℃,济南,南风小于3级
阴转中雨,2012年9月1日,21℃,26℃,济南,南风转北风3-4级
小雨转晴,2012年9月2日,19℃,26℃,济南,微风
晴,2012年9月3日,15℃,27℃,济南,微风
晴转多云,2012年9月4日,14℃,27℃,济南,微风转南风小于3级
多云转阴,2012年9月5日,19℃,27℃,济南,南风小于3级
多云转阵雨,2012年9月6日,20℃,26℃,济南,南风小于3级
阴转多云,2012年9月7日,18℃,26℃,济南,微风
多云转晴,2012年9月8日,17℃,28℃,济南,北风小于3级
晴,2012年9月9日,18℃,28℃,济南,南风小于3级
多云转阵雨,2012年9月10日,19℃,26℃,济南,南风小于3级
阵雨,2012年9月11日,18℃,24℃,济南,南风小于3级转北风3-4级
多云转晴,2012年9月12日,16℃,25℃,济南,北风3-4级转微风
晴,2012年9月13日,15℃,26℃,济南,南风小于3级转微风
晴,2012年9月14日,14℃,25℃,济南,微风
晴,2012年9月15日,14℃,25℃,济南,微风
晴,2012年9月16日,15℃,26℃,济南,微风
多云转阴,2012年9月18日,17℃,26℃,济南,南风小于3级
晴,2012年9月17日,15℃,27℃,济南,微风
多云转晴,2012年9月19日,18℃,29℃,济南,南风小于3级
多云转阴,2012年9月20日,19℃,27℃,济南,南风小于3级
中雨转小雨,2012年9月21日,18℃,24℃,济南,南风小于3级转微风
多云转晴,2012年9月22日,16℃,26℃,济南,东北风小于3级
晴,2012年9月23日,17℃,27℃,济南,东北风转东风小于3级
晴转多云,2012年9月24日,17℃,27℃,济南,南风小于3级
阴转小雨,2012年9月25日,19℃,24℃,济南,南风小于3级
阴转阵雨,2012年9月26日,17℃,26℃,济南,南风小于3级转微风
多云转晴,2012年9月27日,13℃,21℃,济南,北风3-4级
晴,2012年9月28日,11℃,22℃,济南,北风3-4级转微风
晴,2012年9月29日,10℃,24℃,济南,微风
晴,2012年9月30日,12℃,26℃,济南,南风小于3级
多云,,27℃,19℃,济南,东南风 2级
晴,2012年10月1日,14℃,27℃,济南,南风小于3级
晴转多云,2012年10月2日,17℃,27℃,济南,南风3-4级转小于3级
晴转多云,2012年10月3日,15℃,25℃,济南,微风
多云转阵雨,2012年10月4日,15℃,23℃,济南,南风小于3级
多云转晴,2012年10月5日,13℃,25℃,济南,微风
晴,2012年10月6日,13℃,25℃,济南,南风小于3级
多云,2012年10月7日,16℃,26℃,济南,南风小于3级转3-4级
多云,2012年10月8日,18℃,26℃,济南,南风转北风3-4级
晴,2012年10月9日,12℃,22℃,济南,微风
晴,2012年10月10日,10℃,25℃,济南,南风小于3级转3-4级
晴,2012年10月11日,18℃,26℃,济南,南风3-4级
多云,2012年10月12日,16℃,23℃,济南,南风转北风3-4级
多云,2012年10月13日,12℃,23℃,济南,东北风小于3级
晴转多云,2012年10月14日,16℃,24℃,济南,东南风小于3级
阴转小雨,2012年10月15日,12℃,20℃,济南,南风小于3级转北风3-4级
晴,2012年10月16日,6℃,17℃,济南,北风3-4级转南风小于3级
晴,2012年10月17日,9℃,21℃,济南,西南风小于3级
多云,2012年10月18日,15℃,22℃,济南,南风小于3级转3-4级
晴,2012年10月19日,14℃,25℃,济南,南风3-4级转小于3级
多云转小雨,2012年10月20日,15℃,24℃,济南,南风小于3级转北风3-4级
小雨转晴,2012年10月21日,10℃,19℃,济南,北风3-4级转微风
晴,2012年10月22日,8℃,21℃,济南,南风小于3级转3-4级
多云转晴,2012年10月23日,15℃,24℃,济南,南风3-4级
晴,2012年10月24日,11℃,24℃,济南,南风小于3级
晴转阴,2012年10月25日,13℃,22℃,济南,南风小于3级
阴转晴,2012年10月26日,12℃,23℃,济南,南风小于3级
晴转多云,2012年10月27日,11℃,19℃,济南,微风转东南风小于3级
晴转阴,2012年10月28日,12℃,19℃,济南,东南风小于3级转东北风3-4级
多云转晴,2012年10月29日,7℃,14℃,济南,北风3-4级
晴,2012年10月30日,6℃,13℃,济南,南风小于3级转北风3-4级
晴,2012年10月31日,7℃,18℃,济南,南风小于3级转3-4级
晴,2012年11月1日,11℃,19℃,济南,南风3-4级
多云转中雨,2012年11月2日,9℃,15℃,济南,南风3-4级转西风4-5级
小雨转小雪,2012年11月3日,3℃,9℃,济南,西风转西北风4-5级
阵雪转多云,2012年11月4日,0℃,9℃,济南,西北风转北风3-4级
晴,2012年11月5日,4℃,15℃,济南,微风转南风小于3级
晴转多云,2012年11月6日,8℃,15℃,济南,南风小于3级
多云转晴,2012年11月7日,7℃,15℃,济南,微风转东北风小于3级
晴转多云,2012年11月8日,7℃,16℃,济南,东风小于3级
中雨,2012年11月9日,8℃,11℃,济南,东风小于3级转北风3-4级
阴转晴,2012年11月10日,2℃,9℃,济南,西北风3-4级
晴,2012年11月11日,1℃,11℃,济南,西风小于3级
晴,2012年11月12日,1℃,8℃,济南,南风小于3级转北风3-4级
晴,2012年11月13日,0℃,9℃,济南,微风
晴转多云,2012年11月14日,1℃,11℃,济南,南风小于3级
阵雨转晴,2012年11月15日,4℃,11℃,济南,南风小于3级转微风
晴,2012年11月16日,2℃,12℃,济南,微风转南风小于3级
晴,2012年11月17日,6℃,15℃,济南,南风小于3级转3-4级
晴,2012年11月18日,2℃,10℃,济南,北风3-4级转微风
晴转多云,2012年11月19日,4℃,11℃,济南,南风小于3级
多云,2012年11月20日,6℃,13℃,济南,南风小于3级
多云转阵雨,2012年11月21日,6℃,12℃,济南,南风小于3级转北风3-4级
阴转多云,2012年11月22日,0℃,6℃,济南,北风4-5级转微风
晴,2012年11月23日,-1℃,10℃,济南,南风小于3级转3-4级
多云转小雨,2012年11月24日,3℃,6℃,济南,南风小于3级转微风
多云转晴,2012年11月25日,-1℃,7℃,济南,微风转南风小于3级
晴,2012年11月26日,2℃,12℃,济南,南风3-4级转4-5级
晴,2012年11月27日,2℃,8℃,济南,南风4-5级转北风3-4级
晴,2012年11月28日,-1℃,8℃,济南,微风转南风小于3级
晴,2012年11月29日,-1℃,7℃,济南,南风小于3级转东北风3-4级
多云转阴,2012年11月30日,-2℃,4℃,济南,微风转南风小于3级
多云,,27℃,19℃,济南,东南风 2级
阴转多云,2012年12月1日,1℃,10℃,济南,南风3-4级
阴转晴,2012年12月2日,0℃,5℃,济南,南风转北风3-4级
晴转多云,2012年12月3日,-2℃,6℃,济南,南风小于3级
多云转晴,2012年12月4日,-3℃,4℃,济南,南风小于3级转北风3-4级
晴转阴,2012年12月5日,-5℃,4℃,济南,南风小于3级转3-4级
多云,2012年12月6日,-3℃,3℃,济南,南风转北风3-4级
多云转晴,2012年12月7日,-7℃,-1℃,济南,北风3-4级
晴,2012年12月8日,-6℃,3℃,济南,微风
晴,2012年12月9日,-6℃,3℃,济南,微风
晴转多云,2012年12月10日,-3℃,5℃,济南,南风小于3级
晴转多云,2012年12月11日,-3℃,5℃,济南,南风小于3级
多云转中雪,2012年12月12日,-1℃,3℃,济南,南风转东北风小于3级
大雪转小雪,2012年12月13日,0℃,3℃,济南,微风
雾转小雨,2012年12月14日,0℃,4℃,济南,微风
小雪,2012年12月15日,0℃,3℃,济南,东北风小于3级转微风
雨夹雪转晴,2012年12月16日,-2℃,3℃,济南,微风转北风3-4级
晴,2012年12月17日,-7℃,0℃,济南,北风3-4级转微风
晴转多云,2012年12月18日,-5℃,3℃,济南,南风小于3级
阴,2012年12月19日,-3℃,2℃,济南,南风小于3级转微风
大雪转多云,2012年12月20日,-3℃,1℃,济南,微风
阴转晴,2012年12月21日,-5℃,0℃,济南,北风3-4级转4-5级
晴,2012年12月22日,-10℃,-4℃,济南,北风3-4级转微风
晴,2012年12月23日,-11℃,1℃,济南,南风小于3级转3-4级
晴,2012年12月24日,-10℃,-4℃,济南,东北风3-4级转小于3级
多云,2012年12月25日,-9℃,-1℃,济南,东北风转东南风小于3级
多云转小雪,2012年12月26日,-5℃,1℃,济南,东南风小于3级
小雪,2012年12月27日,-3℃,0℃,济南,东南风小于3级转北风3-4级
小雪转多云,2012年12月28日,-6℃,-1℃,济南,微风转北风4-5级
晴,2012年12月29日,-10℃,-2℃,济南,北风3-4级转微风
晴,2012年12月30日,-8℃,1℃,济南,南风小于3级
晴,2012年12月31日,-7℃,-2℃,济南,南风小于3级转北风3-4级
晴,2013年1月1日,-13℃,-6℃,济南,北风3-4级
晴,2013年1月2日,-13℃,-5℃,济南,北风3-4级转微风
晴,2013年1月3日,-11℃,-2℃,济南,南风小于3级
晴,2013年1月4日,-10℃,-1℃,济南,南风小于3级转微风
晴,2013年1月5日,-8℃,2℃,济南,微风转南风小于3级
多云,2013年1月6日,-5℃,2℃,济南,南风小于3级
多云,2013年1月7日,-6℃,1℃,济南,南风小于3级转北风3-4级
多云转晴,2013年1月8日,-8℃,-1℃,济南,北风3-4级转小于3级
晴转多云,2013年1月9日,-6℃,3℃,济南,微风转南风3-4级
多云,2013年1月10日,-1℃,5℃,济南,南风3-4级转微风
多云转晴,2013年1月11日,-3℃,7℃,济南,南风小于3级
晴,2013年1月12日,-1℃,6℃,济南,南风小于3级转微风
晴,2013年1月13日,-3℃,4℃,济南,微风转东北风小于3级
雾,2013年1月14日,-3℃,2℃,济南,南风转东南风小于3级
雾转多云,2013年1月15日,-5℃,1℃,济南,微风转北风3-4级
多云转晴,2013年1月16日,-6℃,3℃,济南,微风
晴,2013年1月17日,-4℃,6℃,济南,南风小于3级转3-4级
晴转多云,2013年1月18日,-2℃,5℃,济南,南风3-4级转东北风小于3级
小雪,2013年1月19日,-1℃,2℃,济南,南风小于3级转微风
小雪转多云,2013年1月20日,-1℃,2℃,济南,微风
雾转多云,2013年1月21日,-4℃,2℃,济南,微风转南风小于3级
晴,2013年1月22日,-4℃,6℃,济南,南风小于3级转3-4级
晴,2013年1月23日,-5℃,3℃,济南,北风3-4级转南风小于3级
晴,2013年1月24日,-5℃,4℃,济南,南风小于3级
晴,2013年1月25日,-4℃,5℃,济南,微风
晴,2013年1月26日,5℃,-4℃,济南,北风转南风小于3级
晴,2013年1月27日,0℃,7℃,济南,南风3-4级转小于3级
雾转晴,2013年1月28日,-1℃,5℃,济南,北风转南风小于3级
雾,2013年1月29日,-1℃,4℃,济南,南风小于3级
雾转小雨,2013年1月30日,2℃,4℃,济南,南风小于3级转微风
小雨转雾,2013年1月31日,-1℃,4℃,济南,微风转北风3-4级
晴转多云,2013年2月1日,-3℃,4℃,济南,微风转南风小于3级
大雪,2013年2月2日,0℃,2℃,济南,南风小于3级
小雪,2013年2月3日,-2℃,2℃,济南,南风小于3级转北风3-4级
中雪转小雪,2013年2月4日,-4℃,0℃,济南,微风
多云转晴,2013年2月5日,-3℃,4℃,济南,微风转北风3-4级
阴转多云,2013年2月6日,-8℃,-2℃,济南,北风4-5级转3-4级
多云转晴,2013年2月7日,-10℃,-1℃,济南,微风转南风小于3级
晴,2013年2月8日,-5℃,4℃,济南,南风3-4级
晴转多云,2013年2月9日,-4℃,2℃,济南,南风小于3级转东北风3-4级
多云转小雪,2013年2月10日,-4℃,1℃,济南,东北风转南风小于3级
小雪转多云,2013年2月11日,-3℃,2℃,济南,南风小于3级转微风
晴,2013年2月12日,-1℃,7℃,济南,南风小于3级转3-4级
多云,2013年2月13日,0℃,5℃,济南,南风3-4级转微风
多云转晴,2013年2月14日,-2℃,6℃,济南,东北风小于3级
晴转多云,2013年2月15日,0℃,8℃,济南,南风3-4级
阴,2013年2月16日,2℃,6℃,济南,南风转东北风3-4级
阴转小雪,2013年2月17日,-2℃,2℃,济南,东北风3-4级
多云转晴,2013年2月18日,-4℃,4℃,济南,微风转南风小于3级
多云转晴,2013年2月19日,-1℃,7℃,济南,南风3-4级转微风
晴,2013年2月20日,0℃,9℃,济南,微风转南风小于3级
晴,2013年2月21日,1℃,8℃,济南,南风小于3级转微风
晴,2013年2月22日,2℃,11℃,济南,南风小于3级
多云,2013年2月23日,4℃,12℃,济南,东南风小于3级
多云,2013年2月24日,4℃,12℃,济南,东北风小于3级
雾,2013年2月25日,1℃,5℃,济南,微风
雾转多云,2013年2月26日,3℃,12℃,济南,微风转南风3-4级
多云转阵雨,2013年2月27日,5℃,14℃,济南,南风转北风3-4级
阴转晴,2013年2月28日,-2℃,6℃,济南,北风4-5级转3-4级
多云,,27℃,19℃,济南,东南风 2级
多云,,27℃,19℃,济南,东南风 2级
多云,,27℃,19℃,济南,东南风 2级
多云转晴,2013年3月1日,-3℃,7℃,济南,北风3-4级转南风小于3级
晴,2013年3月2日,2℃,14℃,济南,南风3-4级
晴,2013年3月3日,3℃,14℃,济南,微风转南风小于3级
晴,2013年3月4日,7℃,19℃,济南,南风3-4级转4-5级
晴转多云,2013年3月5日,13℃,21℃,济南,南风4-5级转3-4级
多云转晴,2013年3月6日,8℃,21℃,济南,微风转南风3-4级
晴,2013年3月7日,14℃,26℃,济南,南风4-5级转小于3级
晴转多云,2013年3月8日,12℃,27℃,济南,南风转北风5-6级
扬沙转晴,2013年3月9日,0℃,12℃,济南,北风5-6级转3-4级
晴转多云,2013年3月10日,4℃,16℃,济南,南风小于3级转3-4级
小雨,2013年3月11日,4℃,12℃,济南,南风3-4级转北风4-5级
阴转晴,2013年3月12日,1℃,8℃,济南,北风4-5级转3-4级
晴转多云,2013年3月13日,-1℃,11℃,济南,东南风转南风小于3级
多云转晴,2013年3月14日,5℃,18℃,济南,南风3-4级
晴转多云,2013年3月15日,7℃,19℃,济南,南风3-4级转微风
多云,2013年3月16日,10℃,20℃,济南,南风小于3级转3-4级
晴,2013年3月17日,8℃,14℃,济南,南风3-4级转东北风小于3级
多云,2013年3月18日,3℃,16℃,济南,南风小于3级转东北风4-5级
阴转多云,2013年3月19日,-1℃,8℃,济南,北风4-5级转3-4级
晴,2013年3月20日,2℃,16℃,济南,南风3-4级转4-5级
多云,2013年3月21日,3℃,12℃,济南,南风转东北风4-5级
晴,2013年3月22日,3℃,17℃,济南,东南风3-4级转北风4-5级
晴转多云,2013年3月23日,2℃,12℃,济南,北风4-5级转微风
晴,2013年3月24日,0℃,13℃,济南,南风小于3级
阴转多云,2013年3月25日,5℃,15℃,济南,南风3-4级
晴,2013年3月26日,9℃,21℃,济南,南风4-5级
多云转晴,2013年3月27日,6℃,14℃,济南,东北风4-5级
多云转阴,2013年3月28日,4℃,14℃,济南,东风3-4级转东南风小于3级
小雨,2013年3月29日,5℃,9℃,济南,南风转东北风小于3级
多云转晴,2013年3月30日,3℃,19℃,济南,南风小于3级转4-5级
雷阵雨,2013年3月31日,8℃,16℃,济南,西南风5-6级转北风4-5级
晴,2013年4月1日,4℃,18℃,济南,北风转南风3-4级
多云转晴,2013年4月2日,13℃,21℃,济南,南风3-4级
晴转多云,2013年4月3日,8℃,21℃,济南,南风小于3级
多云转小雨,2013年4月4日,8℃,17℃,济南,微风转北风4-5级
多云转晴,2013年4月5日,3℃,11℃,济南,北风3-4级
晴,2013年4月6日,4℃,19℃,济南,南风小于3级转5-6级
多云转晴,2013年4月7日,9℃,17℃,济南,南风5-6级转北风4-5级
晴,2013年4月8日,4℃,12℃,济南,北风4-5级转3-4级
晴,2013年4月9日,4℃,14℃,济南,西南风小于3级转北风3-4级
晴,2013年4月10日,5℃,16℃,济南,南风小于3级转北风3-4级
晴,2013年4月11日,7℃,23℃,济南,南风小于3级转3-4级
晴,2013年4月12日,17℃,29℃,济南,西南风4-5级转5-6级
多云转晴,2013年4月13日,7℃,21℃,济南,东北风4-5级转南风3-4级
晴,2013年4月14日,16℃,30℃,济南,南风5-6级转3-4级
多云转晴,2013年4月15日,10℃,25℃,济南,南风小于3级转北风3-4级
晴,2013年4月16日,8℃,23℃,济南,东风3-4级
多云,2013年4月17日,8℃,16℃,济南,北风4-5级
多云转小雨,2013年4月18日,5℃,11℃,济南,东北风3-4级
中雪转阴,2013年4月19日,1℃,9℃,济南,东北风小于3级
多云转晴,2013年4月20日,4℃,18℃,济南,南风小于3级转3-4级
晴转阴,2013年4月21日,10℃,18℃,济南,南风3-4级
阴转多云,2013年4月22日,9℃,21℃,济南,南风小于3级转3-4级
多云转晴,2013年4月23日,11℃,24℃,济南,南风3-4级转小于3级
晴,2013年4月24日,12℃,22℃,济南,西南风小于3级转北风3-4级
晴,2013年4月25日,11℃,27℃,济南,南风小于3级转3-4级
晴,2013年4月26日,21℃,28℃,济南,南风4-5级转微风
多云转雷阵雨,2013年4月27日,15℃,27℃,济南,北风3-4级
阴转晴,2013年4月28日,14℃,25℃,济南,北风3-4级转微风
多云转晴,2013年4月29日,14℃,26℃,济南,微风
晴转多云,2013年4月30日,12℃,25℃,济南,微风
多云,,27℃,19℃,济南,东南风 2级
多云转阴,2013年5月1日,14℃,25℃,济南,东南风转南风小于3级
雷阵雨转阴,2013年5月2日,14℃,23℃,济南,南风小于3级转北风3-4级
晴,2013年5月3日,12℃,27℃,济南,东风转南风小于3级
晴,2013年5月4日,16℃,29℃,济南,南风3-4级转小于3级
晴,2013年5月5日,18℃,29℃,济南,南风小于3级
多云,2013年5月6日,18℃,29℃,济南,南风小于3级
雷阵雨,2013年5月7日,17℃,25℃,济南,东南风小于3级
小雨转阴,2013年5月8日,12℃,20℃,济南,微风转南风小于3级
多云转晴,2013年5月9日,12℃,28℃,济南,微风转南风3-4级
晴,2013年5月10日,20℃,32℃,济南,西南风4-5级
晴,2013年5月11日,25℃,34℃,济南,南风4-5级
晴转多云,2013年5月12日,26℃,34℃,济南,南风3-4级
雷阵雨转多云,2013年5月13日,19℃,30℃,济南,南风转北风3-4级
晴,2013年5月14日,18℃,29℃,济南,东风小于3级转东北风3-4级
晴,2013年5月15日,16℃,27℃,济南,东风小于3级
多云,2013年5月16日,16℃,27℃,济南,东南风转南风小于3级
