date,climate,max_temp,min_temp,site,wind,week
2019-01-02,多云,0℃,-9℃,北京,西南风 1级,星期三
2019-01-02,多云,3℃,-8℃,聊城,东南风 1级,星期三
2019-01-03,多云,4℃,-2℃,济宁,东南风 3级,星期四
2019-01-03,多云,4℃,0℃,日照,东北风 微风,星期四
2019-01-03,多云,5℃,-5℃,潍坊,东南风 1级,星期四
2019-01-03,多云,4℃,-6℃,滨州,南风 微风,星期四
2019-01-03,多云,5℃,-5℃,德州,东北风 1级,星期四
2019-01-03,多云,5℃,-3℃,济南,东南风 2级,星期四
2019-01-03,多云,6℃,-6℃,淄博,西北风 1级,星期四
2019-01-03,多云,5℃,-2℃,菏泽,东南风 3级,星期四
2019-01-03,扬沙,5℃,-2℃,临沂,东北风 1级,星期四
2019-01-03,多云,3℃,-5℃,泰安,西北风 1级,星期四
2019-01-03,多云,4℃,-4℃,烟台,西南风 1级,星期四
2019-01-03,多云,4℃,-1℃,枣庄,东北风 2级,星期四
2019-01-03,多云,5℃,-5℃,聊城,东南风 2级,星期四
2019-01-03,多云,0℃,-6℃,北京,东北风 1级,星期四
2019-01-03,多云,4℃,-2℃,威海,西南风 1级,星期四
2019-01-03,多云,4℃,0℃,青岛,西南风 2级,星期四
2019-01-03,晴,5℃,-6℃,东营,东南风 1级,星期四
2019-01-04,多云,3℃,-5℃,聊城,东北风 3级,星期五
2019-01-04,阴,4℃,-4℃,潍坊,西北风 2级,星期五
2019-01-04,多云,3℃,-3℃,东营,西北风 2级,星期五
2019-01-04,雾,3℃,-6℃,泰安,东北风 2级,星期五
2019-01-04,晴,0℃,-6℃,北京,东北风 2级,星期五
2019-01-04,阴,4℃,-4℃,济南,东北风 2级,星期五
2019-01-04,小雪,2℃,-2℃,青岛,西北风 4级,星期五
2019-01-04,阴,4℃,-1℃,烟台,西北风 3级,星期五
2019-01-04,多云,4℃,-6℃,淄博,东北风 1级,星期五
2019-01-04,阴,3℃,-3℃,菏泽,东北风 3级,星期五
2019-01-04,雨夹雪,0℃,-1℃,临沂,东北风 3级,星期五
2019-01-04,多云,3℃,-5℃,德州,东北风 2级,星期五
2019-01-04,雾,2℃,-2℃,济宁,西南风 1级,星期五
2019-01-04,阴,2℃,-3℃,枣庄,西北风 1级,星期五
2019-01-04,多云,3℃,-5℃,滨州,西北风 3级,星期五
2019-01-04,雨夹雪,0℃,-2℃,日照,东北风 5级,星期五
2019-01-04,阴,4℃,-1℃,威海,西北风 3级,星期五
2019-01-05,阴,2℃,-7℃,德州,东北风 1级,星期六
2019-01-05,阴,3℃,-8℃,淄博,东北风 2级,星期六
2019-01-05,阴,3℃,-5℃,潍坊,东北风 1级,星期六
2019-01-05,多云,3℃,-8℃,聊城,东南风 1级,星期六
2019-01-05,阴,3℃,-5℃,济南,东南风 2级,星期六
2019-01-05,多云,3℃,-5℃,东营,东北风 2级,星期六
2019-01-05,多云,1℃,-5℃,济宁,西北风 1级,星期六
2019-01-05,阴,2℃,-3℃,日照,东北风 1级,星期六
2019-01-05,多云,2℃,-4℃,烟台,西北风 2级,星期六
2019-01-05,多云,3℃,-2℃,青岛,西北风 2级,星期六
2019-01-05,多云,1℃,-3℃,威海,西北风 3级,星期六
2019-01-05,阴,0℃,-5℃,临沂,西北风 1级,星期六
2019-01-05,多云,2℃,-4℃,菏泽,西南风 1级,星期六
2019-01-05,多云,4℃,-7℃,泰安,东南风 1级,星期六
2019-01-05,阴,2℃,-4℃,枣庄,东南风 2级,星期六
2019-01-05,阴,2℃,-7℃,滨州,东北风 3级,星期六
2019-01-05,多云,0℃,-8℃,北京,西南风 1级,星期六
2019-01-06,晴,4℃,-7℃,聊城,东南风 1级,星期日
2019-01-06,晴,2℃,-1℃,青岛,东北风 微风,星期日
2019-01-06,多云,3℃,-4℃,德州,东南风 1级,星期日
2019-01-06,多云,4℃,-5℃,潍坊,东南风 1级,星期日
2019-01-06,多云,4℃,-2℃,枣庄,东北风 1级,星期日
2019-01-06,多云,3℃,-3℃,济宁,北风 微风,星期日
2019-01-06,晴,1℃,-3℃,威海,西南风 2级,星期日
2019-01-06,阴,2℃,-4℃,临沂,东北风 1级,星期日
2019-01-06,多云,3℃,-6℃,东营,东南风 1级,星期日
2019-01-06,多云,1℃,-6℃,烟台,西北风 1级,星期日
2019-01-06,多云,3℃,-3℃,菏泽,东南风 2级,星期日
2019-01-06,多云,3℃,-6℃,泰安,东南风 微风,星期日
2019-01-06,晴,4℃,-6℃,淄博,东南风 微风,星期日
2019-01-06,晴,3℃,-6℃,滨州,南风 微风,星期日
2019-01-06,多云,0℃,-7℃,北京,西南风 1级,星期日
2019-01-06,晴,4℃,-3℃,济南,东南风 2级,星期日
2019-01-06,阴,3℃,-2℃,日照,东北风 1级,星期日
2019-01-07,多云,4℃,-6℃,潍坊,西北风 1级,星期一
2019-01-07,阴,4℃,-3℃,枣庄,西北风 1级,星期一
2019-01-07,多云,3℃,-5℃,东营,西北风 2级,星期一
2019-01-07,阴,2℃,-7℃,北京,东北风 1级,星期一
2019-01-07,多云,3℃,-8℃,滨州,西北风 1级,星期一
2019-01-07,多云,2℃,-3℃,青岛,西北风 4级,星期一
2019-01-07,多云,3℃,-2℃,临沂,东北风 2级,星期一
2019-01-07,多云,4℃,-4℃,济宁,西北风 1级,星期一
2019-01-07,多云,3℃,-3℃,烟台,西北风 2级,星期一
2019-01-07,多云,4℃,-5℃,济南,东南风 2级,星期一
2019-01-07,多云,4℃,-2℃,日照,东北风 2级,星期一
2019-01-07,多云,4℃,-5℃,聊城,北风 微风,星期一
2019-01-07,阴,4℃,-7℃,德州,东南风 1级,星期一
2019-01-07,多云,4℃,-6℃,泰安,东南风 1级,星期一
2019-01-07,多云,4℃,-7℃,淄博,西北风 1级,星期一
2019-01-07,雾,3℃,-3℃,菏泽,西北风 1级,星期一
2019-01-07,多云,3℃,0℃,威海,西北风 2级,星期一
2019-01-08,多云,3℃,-1℃,临沂,东北风 2级,星期二
2019-01-08,晴,1℃,-5℃,潍坊,西北风 2级,星期二
2019-01-08,多云,6℃,-2℃,枣庄,东北风 2级,星期二
2019-01-08,晴,3℃,-2℃,日照,东北风 4级,星期二
2019-01-08,晴,3℃,-7℃,泰安,东北风 2级,星期二
2019-01-08,多云,1℃,-4℃,济南,东北风 4级,星期二
2019-01-08,多云,1℃,-7℃,淄博,东北风 1级,星期二
2019-01-08,晴,1℃,-10℃,北京,西南风 2级,星期二
2019-01-08,雾,4℃,-1℃,济宁,东北风 1级,星期二
2019-01-08,雾,4℃,-2℃,菏泽,东北风 3级,星期二
2019-01-08,晴,2℃,-5℃,聊城,东北风 2级,星期二
2019-01-08,小雪,2℃,-4℃,威海,西北风 6级,星期二
2019-01-08,多云,1℃,-5℃,东营,西北风 1级,星期二
2019-01-08,晴,0℃,-7℃,滨州,西北风 2级,星期二
2019-01-08,晴,1℃,-5℃,德州,东北风 2级,星期二
2019-01-08,小雪,2℃,-3℃,烟台,东北风 4级,星期二
2019-01-08,多云,2℃,-2℃,青岛,东北风 4级,星期二
2019-01-09,阴,0℃,-4℃,济宁,西北风 2级,星期三
2019-01-09,阴,0℃,-5℃,滨州,西南风 1级,星期三
2019-01-09,阴,1℃,-1℃,青岛,西南风 2级,星期三
2019-01-09,雨夹雪,0℃,-3℃,菏泽,东南风 2级,星期三
2019-01-09,阴,0℃,-1℃,临沂,西南风 1级,星期三
2019-01-09,阴,1℃,-2℃,威海,西南风 1级,星期三
2019-01-09,阴,1℃,-9℃,北京,西南风 2级,星期三
2019-01-09,阴,1℃,-4℃,潍坊,东南风 1级,星期三
2019-01-09,阴,0℃,-5℃,泰安,西南风 2级,星期三
2019-01-09,阴,1℃,-4℃,东营,西南风 1级,星期三
2019-01-09,阴,1℃,-5℃,淄博,东北风 微风,星期三
2019-01-09,阴,0℃,-3℃,烟台,西南风 2级,星期三
2019-01-09,阴,0℃,-5℃,聊城,东南风 2级,星期三
2019-01-09,阴,1℃,-3℃,德州,西北风 微风,星期三
2019-01-09,阴,0℃,-3℃,济南,西南风 3级,星期三
2019-01-09,阴,1℃,-2℃,日照,西北风 2级,星期三
2019-01-09,阴,1℃,-2℃,枣庄,北风 1级,星期三
2019-01-10,多云,5℃,0℃,日照,西北风 3级,星期四
2019-01-10,多云,0℃,-3℃,济宁,西北风 微风,星期四
2019-01-10,多云,2℃,-3℃,德州,西南风 3级,星期四
2019-01-10,多云,2℃,-2℃,菏泽,西南风 2级,星期四
2019-01-10,阴,3℃,1℃,青岛,西南风 2级,星期四
2019-01-10,多云,3℃,-1℃,临沂,西北风 3级,星期四
2019-01-10,晴,4℃,-7℃,北京,东南风 1级,星期四
2019-01-10,阴,3℃,-1℃,枣庄,西北风 1级,星期四
2019-01-10,晴,4℃,-4℃,东营,西南风 2级,星期四
2019-01-10,多云,5℃,-4℃,淄博,西南风 2级,星期四
2019-01-10,多云,2℃,-4℃,聊城,东南风 2级,星期四
2019-01-10,多云,5℃,-3℃,潍坊,东南风 微风,星期四
2019-01-10,多云,2℃,-2℃,济南,西南风 1级,星期四
2019-01-10,晴,3℃,-2℃,烟台,西南风 1级,星期四
2019-01-10,多云,2℃,-2℃,威海,西北风 1级,星期四
2019-01-10,雾,0℃,-4℃,泰安,西南风 1级,星期四
2019-01-10,晴,3℃,-4℃,滨州,西南风 2级,星期四
2019-01-11,小雪,2℃,-2℃,日照,西北风 2级,星期五
2019-01-11,多云,2℃,-5℃,聊城,西南风 1级,星期五
2019-01-11,小雨,1℃,-4℃,潍坊,东南风 1级,星期五
2019-01-11,多云,2℃,-2℃,烟台,西北风 1级,星期五
2019-01-11,雨夹雪,1℃,-3℃,临沂,北风 微风,星期五
2019-01-11,小雪,1℃,-3℃,东营,南风 微风,星期五
2019-01-11,小雪,1℃,-1℃,枣庄,西南风 2级,星期五
2019-01-11,多云,2℃,-4℃,淄博,西南风 1级,星期五
2019-01-11,阴,2℃,-3℃,济宁,东南风 1级,星期五
2019-01-11,多云,3℃,-2℃,菏泽,东南风 1级,星期五
2019-01-11,小雪,2℃,0℃,青岛,西北风 2级,星期五
2019-01-11,阴,2℃,-2℃,济南,西南风 2级,星期五
2019-01-11,多云,3℃,0℃,威海,西北风 1级,星期五
2019-01-11,多云,1℃,-4℃,泰安,西南风 1级,星期五
2019-01-11,多云,4℃,-2℃,德州,西南风 1级,星期五
2019-01-11,阴,1℃,-5℃,滨州,东南风 1级,星期五
2019-01-11,阴,5℃,-6℃,北京,西南风 1级,星期五
2019-01-12,多云,5℃,-5℃,聊城,东南风 1级,星期六
2019-01-12,多云,4℃,-3℃,泰安,北风 微风,星期六
2019-01-12,雾,3℃,-3℃,潍坊,东南风 2级,星期六
2019-01-12,多云,5℃,-3℃,烟台,东北风 微风,星期六
2019-01-12,雾,6℃,-4℃,淄博,东南风 1级,星期六
2019-01-12,多云,4℃,0℃,枣庄,东北风 2级,星期六
2019-01-12,多云,4℃,-4℃,东营,东南风 2级,星期六
2019-01-12,多云,4℃,-1℃,临沂,西北风 1级,星期六
2019-01-12,阴,4℃,-1℃,威海,西南风 1级,星期六
2019-01-12,多云,4℃,0℃,济宁,东北风 1级,星期六
2019-01-12,雾,1℃,0℃,菏泽,东南风 3级,星期六
2019-01-12,雾,1℃,0℃,青岛,西北风 2级,星期六
2019-01-12,多云,4℃,-6℃,滨州,东南风 微风,星期六
2019-01-12,多云,2℃,-2℃,日照,东北风 1级,星期六
2019-01-12,雾,4℃,-3℃,德州,东南风 1级,星期六
2019-01-12,雾,4℃,-5℃,北京,西南风 3级,星期六
2019-01-12,多云,7℃,-1℃,济南,东南风 2级,星期六
2019-01-13,雾,2℃,-3℃,烟台,西南风 3级,星期日
2019-01-13,雾,2℃,-1℃,威海,西北风 3级,星期日
2019-01-13,雾,3℃,-6℃,潍坊,东北风 微风,星期日
2019-01-13,雾,3℃,-7℃,淄博,西北风 微风,星期日
2019-01-13,雾,5℃,-5℃,东营,东北风 微风,星期日
2019-01-13,雾,8℃,-7℃,北京,西南风 2级,星期日
2019-01-13,雾,4℃,-2℃,临沂,东北风 3级,星期日
2019-01-13,雾,2℃,0℃,青岛,西北风 4级,星期日
2019-01-13,雾,4℃,-7℃,滨州,西南风 1级,星期日
2019-01-13,多云,5℃,-2℃,日照,东北风 2级,星期日
2019-01-13,雾,3℃,-4℃,德州,东北风 1级,星期日
2019-01-13,多云,3℃,-3℃,济南,东北风 2级,星期日
2019-01-13,雾,1℃,-5℃,泰安,东北风 2级,星期日
2019-01-13,雾,0℃,-5℃,聊城,东南风 2级,星期日
2019-01-13,多云,6℃,-1℃,枣庄,西南风 2级,星期日
2019-01-13,雾,1℃,-2℃,济宁,西北风 1级,星期日
2019-01-13,雾,0℃,-1℃,菏泽,东南风 2级,星期日
2019-01-14,阴,3℃,-3℃,威海,西南风 1级,星期一
2019-01-14,雾,4℃,-5℃,东营,东南风 1级,星期一
2019-01-14,雾,3℃,-4℃,聊城,南风 微风,星期一
2019-01-14,雾,4℃,-2℃,枣庄,西南风 2级,星期一
2019-01-14,阴,7℃,-6℃,淄博,东北风 微风,星期一
2019-01-14,多云,4℃,-8℃,北京,西南风 4级,星期一
2019-01-14,阴,4℃,-1℃,日照,东北风 1级,星期一
2019-01-14,阴,3℃,-3℃,烟台,东南风 1级,星期一
2019-01-14,扬沙,5℃,-2℃,临沂,西南风 2级,星期一
2019-01-14,阴,4℃,-5℃,济南,东北风 微风,星期一
2019-01-14,雾,4℃,-3℃,济宁,西南风 1级,星期一
2019-01-14,多云,5℃,-4℃,滨州,东南风 1级,星期一
2019-01-14,雾,4℃,-4℃,潍坊,东南风 1级,星期一
2019-01-14,雾,3℃,-2℃,青岛,北风 微风,星期一
2019-01-14,雾,6℃,-6℃,泰安,西南风 1级,星期一
2019-01-14,雾,2℃,-6℃,德州,西南风 1级,星期一
2019-01-14,雾,2℃,-2℃,菏泽,西南风 2级,星期一
2019-01-15,阴,-1℃,-5℃,威海,西北风 6级,星期二
2019-01-15,多云,-2℃,-7℃,东营,西北风 2级,星期二
2019-01-15,晴,0℃,-8℃,聊城,东北风 2级,星期二
2019-01-15,阴,3℃,-7℃,枣庄,北风 2级,星期二
2019-01-15,晴,-2℃,-10℃,泰安,东北风 3级,星期二
2019-01-15,多云,-2℃,-10℃,淄博,东北风 1级,星期二
2019-01-15,多云,0℃,-4℃,青岛,东北风 4级,星期二
2019-01-15,晴,0℃,-7℃,日照,东北风 4级,星期二
2019-01-15,晴,-1℃,-10℃,北京,西北风 2级,星期二
2019-01-15,中雪,-1℃,-8℃,潍坊,西北风 2级,星期二
2019-01-15,小雪,-2℃,-7℃,烟台,西北风 5级,星期二
2019-01-15,多云,0℃,-6℃,菏泽,东北风 2级,星期二
2019-01-15,晴,-1℃,-7℃,德州,东南风 1级,星期二
2019-01-15,晴,0℃,-7℃,济宁,西北风 3级,星期二
2019-01-15,多云,-3℃,-7℃,济南,东南风 1级,星期二
2019-01-15,多云,-3℃,-9℃,滨州,东北风 1级,星期二
2019-01-15,多云,0℃,-7℃,临沂,东北风 4级,星期二
2019-01-16,多云,3℃,-6℃,德州,东南风 2级,星期三
2019-01-16,阴,0℃,-4℃,威海,西南风 2级,星期三
2019-01-16,阴,2℃,-6℃,东营,西南风 1级,星期三
2019-01-16,晴,3℃,-7℃,聊城,西南风 1级,星期三
2019-01-16,多云,1℃,-8℃,滨州,西南风 2级,星期三
2019-01-16,阴,0℃,-5℃,青岛,西北风 1级,星期三
2019-01-16,晴,1℃,-8℃,泰安,西北风 1级,星期三
2019-01-16,多云,2℃,-5℃,临沂,西南风 2级,星期三
2019-01-16,阴,1℃,-5℃,烟台,西南风 1级,星期三
2019-01-16,多云,3℃,-4℃,济南,东南风 2级,星期三
2019-01-16,晴,2℃,-4℃,菏泽,东南风 2级,星期三
2019-01-16,阴,1℃,-7℃,潍坊,西南风 1级,星期三
2019-01-16,多云,1℃,-5℃,日照,西北风 2级,星期三
2019-01-16,晴,2℃,-8℃,北京,西南风 2级,星期三
2019-01-16,小雪,2℃,-5℃,枣庄,东南风 微风,星期三
2019-01-16,晴,2℃,-4℃,济宁,东南风 1级,星期三
2019-01-16,多云,3℃,-7℃,淄博,东南风 2级,星期三
2019-01-17,晴,7℃,-3℃,德州,东南风 2级,星期四
2019-01-17,晴,6℃,-3℃,临沂,西南风 1级,星期四
2019-01-17,晴,7℃,-2℃,菏泽,东南风 2级,星期四
2019-01-17,晴,6℃,-6℃,滨州,南风 微风,星期四
2019-01-17,晴,7℃,-5℃,东营,东南风 微风,星期四
2019-01-17,晴,7℃,-9℃,北京,西南风 2级,星期四
2019-01-17,晴,7℃,-5℃,聊城,东南风 1级,星期四
2019-01-17,阴,4℃,1℃,青岛,西南风 2级,星期四
2019-01-17,多云,4℃,-3℃,威海,西南风 3级,星期四
2019-01-17,晴,7℃,-5℃,淄博,西南风 2级,星期四
2019-01-17,晴,8℃,-2℃,济宁,东南风 1级,星期四
2019-01-17,阴,4℃,-3℃,日照,西北风 1级,星期四
2019-01-17,晴,6℃,-7℃,泰安,西南风 1级,星期四
2019-01-17,多云,6℃,-5℃,潍坊,西南风 2级,星期四
2019-01-17,阴,7℃,-5℃,枣庄,东南风 1级,星期四
2019-01-17,晴,8℃,-1℃,济南,东南风 2级,星期四
2019-01-17,多云,5℃,-4℃,烟台,西南风 1级,星期四
2019-01-18,多云,8℃,-1℃,济南,东南风 3级,星期五
2019-01-18,晴,7℃,-3℃,烟台,西南风 2级,星期五
2019-01-18,多云,5℃,1℃,日照,东北风 1级,星期五
2019-01-18,多云,7℃,0℃,威海,东南风 2级,星期五
2019-01-18,雨夹雪,8℃,-1℃,枣庄,东南风 3级,星期五
2019-01-18,阴,8℃,-3℃,德州,东南风 1级,星期五
2019-01-18,阴,5℃,-5℃,北京,西北风 1级,星期五
2019-01-18,阴,8℃,1℃,济宁,东南风 2级,星期五
2019-01-18,阴,7℃,-4℃,滨州,东南风 1级,星期五
2019-01-18,阴,8℃,1℃,菏泽,东南风 2级,星期五
2019-01-18,多云,9℃,-3℃,淄博,东南风 微风,星期五
2019-01-18,阴,6℃,-1℃,泰安,东北风 2级,星期五
2019-01-18,阴,8℃,-3℃,东营,东北风 1级,星期五
2019-01-18,晴,6℃,1℃,青岛,东南风 3级,星期五
2019-01-18,阴,6℃,-1℃,聊城,东北风 1级,星期五
2019-01-18,多云,9℃,-3℃,潍坊,东南风 1级,星期五
2019-01-18,阴,6℃,0℃,临沂,东北风 3级,星期五
2019-01-19,阴,4℃,-6℃,滨州,东北风 3级,星期六
2019-01-19,阴,6℃,-5℃,济南,东北风 3级,星期六
2019-01-19,阴,7℃,-6℃,泰安,东北风 2级,星期六
2019-01-19,阴,6℃,-1℃,威海,西北风 4级,星期六
2019-01-19,阴,6℃,0℃,青岛,西北风 4级,星期六
2019-01-19,阴,7℃,-2℃,日照,西北风 5级,星期六
2019-01-19,阴,10℃,-3℃,枣庄,西北风 2级,星期六
2019-01-19,阴,5℃,-3℃,烟台,西北风 4级,星期六
2019-01-19,阴,5℃,-5℃,德州,东南风 2级,星期六
2019-01-19,阴,4℃,-5℃,北京,西南风 微风,星期六
2019-01-19,阴,6℃,-7℃,淄博,东北风 2级,星期六
2019-01-19,阴,5℃,-3℃,菏泽,西北风 2级,星期六
2019-01-19,阴,7℃,-2℃,济宁,西北风 2级,星期六
2019-01-19,阴,4℃,-4℃,东营,东北风 2级,星期六
2019-01-19,阴,4℃,-6℃,聊城,东北风 4级,星期六
2019-01-19,阴,7℃,-2℃,临沂,东北风 3级,星期六
2019-01-19,阴,6℃,-5℃,潍坊,东北风 3级,星期六
2019-01-20,晴,4℃,-4℃,潍坊,西北风 1级,星期日
2019-01-20,晴,5℃,-3℃,德州,西北风 1级,星期日
2019-01-20,多云,5℃,-3℃,日照,东北风 4级,星期日
2019-01-20,多云,7℃,-4℃,济宁,西北风 1级,星期日
2019-01-20,晴,4℃,-3℃,东营,西南风 2级,星期日
2019-01-20,多云,7℃,-4℃,枣庄,西北风 2级,星期日
2019-01-20,晴,3℃,-3℃,青岛,西北风 3级,星期日
2019-01-20,晴,5℃,-6℃,北京,西南风 2级,星期日
2019-01-20,多云,1℃,-3℃,烟台,西北风 2级,星期日
2019-01-20,多云,0℃,-2℃,威海,西北风 3级,星期日
2019-01-20,晴,4℃,-5℃,淄博,西南风 1级,星期日
2019-01-20,多云,6℃,-3℃,菏泽,西南风 1级,星期日
2019-01-20,多云,6℃,-3℃,临沂,西北风 3级,星期日
2019-01-20,晴,4℃,-2℃,济南,东南风 1级,星期日
2019-01-20,晴,6℃,-7℃,泰安,西南风 2级,星期日
2019-01-20,晴,3℃,-3℃,滨州,西南风 2级,星期日
2019-01-20,多云,6℃,-6℃,聊城,西南风 1级,星期日
2019-01-21,多云,7℃,-6℃,泰安,西南风 1级,星期一
2019-01-21,晴,5℃,-1℃,威海,西北风 4级,星期一
2019-01-21,晴,5℃,-3℃,烟台,西南风 2级,星期一
2019-01-21,晴,8℃,0℃,济南,西南风 2级,星期一
2019-01-21,晴,9℃,-5℃,淄博,西南风 1级,星期一
2019-01-21,晴,7℃,-6℃,济宁,西南风 微风,星期一
2019-01-21,多云,7℃,-3℃,日照,西北风 3级,星期一
2019-01-21,晴,6℃,0℃,青岛,西北风 2级,星期一
2019-01-21,晴,8℃,-5℃,潍坊,西南风 1级,星期一
2019-01-21,晴,9℃,-4℃,北京,西南风 2级,星期一
2019-01-21,晴,6℃,-3℃,东营,西北风 1级,星期一
2019-01-21,晴,7℃,-5℃,德州,西北风 1级,星期一
2019-01-21,晴,7℃,-5℃,菏泽,西南风 1级,星期一
2019-01-21,晴,7℃,-5℃,临沂,西北风 3级,星期一
2019-01-21,晴,7℃,-4℃,滨州,西北风 2级,星期一
2019-01-21,晴,7℃,-6℃,聊城,东南风 1级,星期一
2019-01-21,晴,8℃,-5℃,枣庄,西南风 1级,星期一
2019-01-22,晴,11℃,-2℃,东营,西北风 1级,星期二
2019-01-22,晴,11℃,-3℃,菏泽,东南风 2级,星期二
2019-01-22,晴,10℃,-2℃,临沂,西北风 3级,星期二
2019-01-22,晴,9℃,-4℃,滨州,西南风 1级,星期二
2019-01-22,晴,9℃,-3℃,烟台,西南风 2级,星期二
2019-01-22,晴,11℃,-1℃,日照,西北风 2级,星期二
2019-01-22,晴,12℃,-5℃,德州,西南风 2级,星期二
2019-01-22,晴,11℃,0℃,济南,东南风 2级,星期二
2019-01-22,晴,11℃,-3℃,潍坊,西南风 微风,星期二
2019-01-22,晴,10℃,-4℃,枣庄,东北风 1级,星期二
2019-01-22,晴,10℃,-7℃,泰安,西南风 1级,星期二
2019-01-22,晴,11℃,-3℃,北京,东北风 1级,星期二
2019-01-22,晴,10℃,0℃,威海,西北风 2级,星期二
2019-01-22,晴,12℃,-4℃,淄博,东南风 2级,星期二
2019-01-22,晴,12℃,-6℃,聊城,东南风 1级,星期二
2019-01-22,晴,8℃,0℃,青岛,西南风 2级,星期二
2019-01-22,晴,10℃,-2℃,济宁,东南风 1级,星期二
2019-01-23,晴,7℃,0℃,威海,西北风 2级,星期三
2019-01-23,晴,7℃,-3℃,烟台,西南风 微风,星期三
2019-01-23,多云,13℃,-1℃,临沂,东北风 1级,星期三
2019-01-23,晴,9℃,-2℃,东营,东北风 2级,星期三
2019-01-23,晴,13℃,-5℃,泰安,东北风 2级,星期三
2019-01-23,晴,11℃,-3℃,滨州,东南风 2级,星期三
2019-01-23,多云,13℃,-4℃,德州,东南风 1级,星期三
2019-01-23,晴,12℃,-4℃,淄博,东北风 1级,星期三
2019-01-23,晴,13℃,1℃,济南,东南风 2级,星期三
2019-01-23,晴,10℃,2℃,青岛,东南风 2级,星期三
2019-01-23,晴,13℃,-3℃,枣庄,东北风 1级,星期三
2019-01-23,晴,14℃,-5℃,聊城,东北风 2级,星期三
2019-01-23,晴,12℃,2℃,日照,东北风 1级,星期三
2019-01-23,晴,11℃,-4℃,潍坊,西南风 微风,星期三
2019-01-23,晴,14℃,-1℃,济宁,东南风 1级,星期三
2019-01-23,晴,11℃,-4℃,北京,西南风 4级,星期三
2019-01-23,多云,13℃,-1℃,菏泽,东南风 1级,星期三
2019-01-24,多云,8℃,0℃,青岛,东南风 2级,星期四
2019-01-24,晴,14℃,-3℃,淄博,东北风 2级,星期四
2019-01-24,多云,13℃,0℃,菏泽,东北风 2级,星期四
2019-01-24,晴,12℃,-3℃,东营,东北风 2级,星期四
2019-01-24,晴,8℃,-1℃,烟台,西北风 2级,星期四
2019-01-24,晴,11℃,-3℃,德州,东南风 3级,星期四
2019-01-24,多云,11℃,0℃,临沂,东北风 2级,星期四
2019-01-24,多云,13℃,2℃,枣庄,东南风 2级,星期四
2019-01-24,晴,12℃,0℃,济宁,东北风 1级,星期四
2019-01-24,晴,12℃,-1℃,聊城,东北风 1级,星期四
2019-01-24,阴,4℃,-4℃,北京,东北风 微风,星期四
2019-01-24,多云,4℃,-1℃,威海,东北风 1级,星期四
2019-01-24,晴,13℃,0℃,济南,东南风 2级,星期四
2019-01-24,多云,13℃,-1℃,潍坊,东北风 1级,星期四
2019-01-24,晴,12℃,0℃,泰安,东北风 2级,星期四
2019-01-24,多云,9℃,0℃,日照,东南风 微风,星期四
2019-01-24,晴,12℃,-3℃,滨州,东北风 2级,星期四
2019-01-25,晴,5℃,-6℃,北京,西北风 2级,星期五
2019-01-25,阴,5℃,-5℃,临沂,东北风 3级,星期五
2019-01-25,阴,9℃,-5℃,枣庄,东南风 2级,星期五
2019-01-25,多云,3℃,-5℃,东营,北风 微风,星期五
